actor,anio_nacimiento,conocido_por,que_hace,premios
M.C. Gainey,1948,"Club Desmadre (2004), Cerdos salvajes: Con un par.","Reparto, Producción",0
Jeffrey Tambor,1944,"Transparent (2014), Arrested Development (2003) y Hellboy (2004).","Reparto, Banda sonora",23
Brad Garrett,1960,"Todo el mundo quiere a Raymond (1996), Christopher Robin (2018) y Enredados (2010).","Reparto, Producción, Guion",4
Paul F. Tompkins,1968,"BoJack Horseman (2014), Pozos de ambición (2007) y Enredados (2010).","Reparto, Guion, Producción",0
Richard Kiel,1939,"Moonraker (1979), Terminagolf (1996) y Enredados (2010).","Reparto, Guion, Producción",0
Delaney Rose Stein,2005,N/A,"Reparto, Equipos adicionales",0
Donald Faison,1974,"Scrubs (2001), Clueless (Fuera de onda) (1995) y Skyline (2010).","Reparto, Producción, Guion",2
Eddie Kaye Thomas,1980,"American Pie (1999), American Pie: ¡Menuda boda! (2003) y 2 colgaos muy fumaos (2004).","Reparto, Guion, Banda sonora",1
Eddie Guerra,N/A,"su papel en CSI: Miami (2002), Venus & Vegas (2010) y The Prosecution of an American President (2012).","Reparto, Guion, Producción",1
Abraham Benrubi,1969,"Christmas Bloody Christmas (2022), Parker Lewis nunca pierde (1990) y Urgencias (1994).","Reparto, Banda sonora",1
Jaime Pressly,1977,N/A,"Reparto, Producción, Banda sonora",6
Molly Sims,1973,N/A,"Reparto, Producción, Equipo ejecutivo",0
Roselyn Sanchez,1973,N/A,"Reparto, Producción, Guion",1
Florence Henderson,1934,N/A,"Reparto, Producción, Guion",3
Jon Polito,1950,"El cuervo (1994), Muerte entre las flores (1990) y La gran nada (2006).",Reparto,2
Paul Ben-Victor,1965,"The Wire (Bajo escucha) (2002), El irlandés (2019) y Dale duro (2015).","Reparto, Guion, Producción",2
Steve Carell,1962,"The Office (2005), Virgen a los 40 (2005) y Foxcatcher (2014).","Reparto, Producción, Guion",37
Paul Rudd,1969,"Ant-Man (2015), Ant-Man y la Avispa (2018) y Te quiero, tío (2009).","Reparto, Producción, Guion",9
Stephanie Szostak,1975,N/A,Reparto,1
Zach Galifianakis,1969,"Resacón en Las Vegas (2009), Birdman o (La inesperada virtud de la ignorancia) (2014) y Salidos de cuentas (2010).","Reparto, Producción, Guion",22
Jemaine Clement,1974,"Los Conchords (2007), Lo que hacemos en las sombras (2014) y Men in Black 3 (2012).","Reparto, Guion, Producción",22
Lucy Punch,1977,N/A,"Reparto, Guion, Producción",3
Bruce Greenwood,1956,"Star Trek (2009), Trece días (2000) y Yo, robot (2004).","Reparto, Producción, Banda sonora",8
David Walliams,1971,"Little Britain (2003), La cena (2010) y Corredor de fondo (2007).","Reparto, Guion, Producción",12
Ron Livingston,1967,"Expediente Warren: The Conjuring (2013), Trabajo basura (1999) y Adaptation (El ladrón de orquídeas) (2002).","Reparto, Cámara y electricidad, Producción",0
Larry Wilmore,1961,"El show de Bernie Mac (2001), Insecure (2016) y The Office (2005).","Guion, Producción, Reparto",2
Tom Hanks,1956,"Náufrago (2000), Big (1988) y Forrest Gump (1994).","Producción, Reparto, Guion",97
Tim Allen,1953,"Toy Story (1995), Un chapuzas en casa (1991) y Héroes fuera de órbita (1999).","Reparto, Producción, Equipos adicionales",25
Joan Cusack,1962,N/A,"Reparto, Guion, Banda sonora",17
Ned Beatty,1937,"Network, un mundo implacable (1976), Defensa (1972) y Shooter: El tirador (2007).","Reparto, Banda sonora",1
Don Rickles,1926,"Los violentos de Kelly (1970), Casino (1995) y Toy Story (1995).","Reparto, Guion, Banda sonora",3
Michael Keaton,1951,"Birdman o (La inesperada virtud de la ignorancia) (2014), Spotlight (2015) y El fundador (2016).","Reparto, Equipos adicionales, Producción",76
Wallace Shawn,1943,"Mi cena con André (1981), La princesa prometida (1987) y Vacaciones en Las Vegas (1997).","Reparto, Guion, Producción",3
John Ratzenberger,1947,"Cheers (1982), Monstruos University (2013) y Toy Story (1995).","Reparto, Dirección, Producción",1
Estelle Harris,1928,N/A,Reparto,0
John Morris,1984,"Toy Story (1995), Toy Story 3 (2010) y Toy Story 2 (1999).","Reparto, Equipos adicionales",0
Joe O'Byrne,N/A,"su papel en Lookin' for Lucky (2009), The Cops (1998) y Diary of a Bad Lad (2010).","Reparto, Guion, Producción",0
Paul Birtwistle,N/A,"su papel en A Plateful of Tony (2013), Bar Stewards (2025) y Tash Force (2012).","Reparto, Guion, Producción",0
Donna Henry,N/A,N/A,"Reparto, Arte, Maquillaje",0
Roxanne Gregory,N/A,N/A,Reparto,0
Clive Bonelle,N/A,"su papel en Shameless (2004), Lookin' for Lucky (2009) y Eleventh Hour (2006).",Reparto,0
James Foster,N/A,N/A,Reparto,0
Jonathan Williams,N/A,N/A,"Música, Banda sonora",0
Tim Paley,N/A,"su papel en The Selfish Giant (2013), Valerie's Orchard (2007) y Curiosity (2007).","Reparto, Producción, Guion",0
Chris Leonard,N/A,N/A,"Composición, Banda sonora",0
Michael Booth,N/A,N/A,Reparto,0
Michael Cera,1988,"Scott Pilgrim contra el mundo (2010), Supersalidos (2007) y Juno (2007).","Reparto, Producción, Dirección",9
Mary Elizabeth Winstead,1984,N/A,"Reparto, Producción, Banda sonora",4
Kieran Culkin,1982,"Succession (2018), La gran caída de Igby (2002) y Scott Pilgrim contra el mundo (2010).",Reparto,16
Anna Kendrick,1985,N/A,"Reparto, Producción, Dirección",20
Alison Pill,1985,N/A,"Reparto, Banda sonora",4
Aubrey Plaza,1984,N/A,"Reparto, Producción, Guion",12
