actor,anio_nacimiento,conocido_por,que_hace,premios
Richard Whaley,N/A,"su papel en Persona Au Gratin (2012), Anatomy of a Fight (2003) y Under the N (2008).",Reparto,1
Joe Hoover,N/A,N/A,Reparto,0
Andrew Zutty,N/A,N/A,"Cámara y electricidad, Reparto",0
Tim McMurray,N/A,N/A,Reparto,0
Jeffrey Paul Bobrick,N/A,N/A,Reparto,0
Uwe Steimle,1963,"Polizeiruf 110 (1971), Die Hinterbänkler (2002) y 3sat Festival (2000).","Reparto, Guion, Banda sonora",1
Julia Richter,1970,N/A,"Reparto, Guion, Dirección",0
Ina Paule Klink,N/A,N/A,"Reparto, Banda sonora",0
Gen Seto,1955,"Status Quo (2019), La mejor oferta (2013) y El bosque de los suicidios (2016).","Reparto, Dirección, Guion",1
Michael Kind,1953,"El hundimiento (2004), Küstenwache (1997) y Die Wolke (2006).","Reparto, Música",0
Thorsten Merten,1963,"A media escalera (2002), Kohlhaas oder die Verhältnismäßigkeit der Mittel (2012) y Guerra de mentiras (Curveball) (2020).","Reparto, Guion",3
Yuki Iwamoto,1964,"Ninja Assassin (2009), Iron Sky (2012) y El maullido del gato (2001).","Reparto, Equipos adicionales, Producción",0
Angelika Böttiger,N/A,N/A,Reparto,0
Alexander Hörbe,1968,"En el lugar del crimen (1970), Berlin, Berlin (2002) y Inspector Wolff (1992).",Reparto,0
Deborah Kaufmann,1970,N/A,Reparto,0
Eddie Murphy,1961,"The Nutty Professor (El profesor chiflado) (1996), Superdetective en Hollywood (1984) y Dreamgirls (2006).","Reparto, Guion, Producción",45
Cliff Curtis,1968,"Resucitado (2016), Sunshine (2007) y The Dark Horse (2014).","Reparto, Producción",8
Kerry Washington,1977,N/A,"Reparto, Producción, Dirección",23
Clark Duke,N/A,"Jacuzzi al pasado (2010), Los Croods (2013) y Kick Ass 2: Con un par (2013).","Reparto, Dirección, Producción",0
Emanuel Ragsdale,N/A,su papel en Mil palabras (2012).,Reparto,0
Jill Basey,1942,N/A,Reparto,0
Greg Collins,1952,"La Roca (1996), El bar Coyote (2000) y Armageddon (1998).","Reparto, Especialistas",0
Robert LeQuang,1978,"Mil palabras (2012), Hollywood Wasteland (2010) y Bushido (2020).","Reparto, Especialistas",0
Michael G. Wilkinson,N/A,su papel en Mil palabras (2012) y Cartas de un asesino (1998).,Reparto,0
Lyndsey Nelson,N/A,N/A,Reparto,0
Taylor Kitsch,1981,"X-Men orígenes: Lobezno (2009), John Carter (2012) y Battleship (2012).","Reparto, Producción, Dirección",3
Lynn Collins,1977,N/A,Reparto,0
Willem Dafoe,1955,"Spider-Man (2002), Van Gogh, a las puertas de la eternidad (2018) y The Florida Project (2017).","Reparto, Producción, Guion",87
Samantha Morton,1977,N/A,"Reparto, Guion, Dirección",24
Thomas Haden Church,1960,"Entre copas (2004), Spider-Man 3 (2007) y Spider-Man: No Way Home (2021).","Reparto, Equipos adicionales, Producción",30
Mark Strong,1963,"1917 (2019), ¡Shazam! (2019) y Kingsman: Servicio secreto (2014).","Reparto, Producción",3
Ciarán Hinds,1953,"Belfast (2021), La mujer de negro (2012) y El topo (2011).","Reparto, Banda sonora",17
Dominic West,1969,"The Wire (Bajo escucha) (2002), Chicago (2002) y Misteriosa obsesión (2004).","Reparto, Producción, Dirección",9
James Purefoy,1964,"Roma (2005), Hap and Leonard (2016) y Altered Carbon (2018).","Reparto, Producción",1
Bryan Cranston,1956,"Breaking Bad (2008), Malcolm (2000) y Argo (2012).","Reparto, Producción, Guion",62
Jay Rowlands,N/A,N/A,"Reparto, Producción, Especialistas",62
Alan Luxmore,N/A,"su papel en Clutch (2012), Wedding Day (2009) y Amelia (2012).","Equipos adicionales, Dirección de producción, Reparto",0
Amy Colton,N/A,N/A,"Reparto, Producción",0
Fred Butler,N/A,N/A,"Reparto, Dirección",0
Jeff Polage,N/A,N/A,"Reparto, Arte, Cámara y electricidad",0
Shayna Bell,N/A,N/A,Decoración,0
Megan Boye,N/A,N/A,Reparto,0
Jason Seitz,N/A,N/A,"Reparto, Casting",0
Del Marshall,N/A,N/A,"2006, PG, 2h 11min",0
LeeRoy Cannady,N/A,N/A,Reparto,0
Cuba Gooding Jr.,1968,"Jerry Maguire (1996), Me llaman Radio (2003) y Estallido (1995).","Reparto, Guion, Producción",17
Gerald McRaney,1947,"Focus (2015), El equipo A (2010) y Simon & Simon (1981).","Reparto, Producción, Dirección",3
David Oyelowo,1976,"Hombres de ley: Bass Reeves (2023), El después (2023) y Selma (2014).","Reparto, Producción, Dirección",19
Andre Royo,1968,"Aquí y ahora (2013), Super (2010) y The Collection (2012).","Reparto, Producción, Guion",1
Terrence Howard,1969,"Crash (Colisión) (2004), Hustle & Flow (2005) y Iron Man (2008).","Reparto, Producción, Guion",37
