actor,anio_nacimiento,conocido_por,que_hace,premios
Hernán Lacalle,N/A,"su papel en Neruda (2016), La memoria del agua (2015) y Hijos del Desierto (2022).",Reparto,0
Luz Valdivieso,1977,N/A,"Reparto, Banda sonora",0
Matías Jara,N/A,N/A,"Dirección de fotografía y cámara, Reparto, Cámara y electricidad",0
Pablo Schwarz,N/A,N/A,Reparto,1
Wil Edgar,N/A,"su papel en Freefall Atacama (2011), Vivir con 10 (2007) y Joven & alocada (2012).","Reparto, Guion, Equipos adicionales",1
Silvia Colloca,1977,N/A,"Reparto, Guion, Producción",0
Laura Lattuada,N/A,N/A,Reparto,0
John Phillip Law,1937,"Barbarella (1968), El viaje fantástico de Simbad (1973) y Espacio exterior (1988).","Reparto, Producción, Equipos adicionales",1
Regina Nemni,N/A,N/A,Reparto,0
Walter D'Errico,N/A,N/A,"Reparto, Producción, Dirección",0
Francesca Rettondini,1971,N/A,"Reparto, Producción, Equipo ejecutivo",0
Fabrizio Spera,N/A,N/A,Reparto,0
Paola Carleo,N/A,N/A,"Reparto, Dirección de casting",0
Alberto Viola,N/A,"su papel en White Secrets (2024), Ferite (2022) y L'apocalisse delle scimmie (2004).","Reparto, Equipos adicionales, Dirección",0
Andrea Riccardo Bruschi,N/A,N/A,"Reparto, Producción",0
Daniel Day-Lewis,1957,"Pozos de ambición (2007), El último mohicano (1992) y Lincoln (2012).","Reparto, Música, Banda sonora",146
Sally Field,1946,N/A,"Reparto, Producción, Dirección",48
David Strathairn,1949,"Buenas noches, y buena suerte.","Reparto, Producción, Equipos adicionales",13
Joseph Gordon-Levitt,1981,"Origen (2010), Looper (2012) y Don Jon (2013).","Reparto, Producción, Guion",26
James Spader,1960,"The Blacklist (2013), Boston Legal (2004) y Sexo, mentiras y cintas de vídeo (1989).","Reparto, Producción, Banda sonora",9
Hal Holbrook,1925,"Hacia rutas salvajes (2007), Lincoln (2012) y Todos los hombres del presidente (1976).","Reparto, Dirección, Guion",15
Tommy Lee Jones,1946,"Deuda de honor - The Homesman (2014), El fugitivo (1993) y No es país para viejos (2007).","Reparto, Dirección, Guion",44
John Hawkes,1959,"Las sesiones (2012), Winter's Bone (2010) y Tres anuncios en las afueras (2017).","Reparto, Música, Producción",18
Jackie Earle Haley,1961,N/A,"Reparto, Dirección, Guion",12
Bruce McGill,1950,"Un ciudadano ejemplar (2009), Desmadre a la americana (1978) y Timecop: Policía en el tiempo (1994).","Reparto, Banda sonora",4
Suraj Sharma,1993,"La vida de Pi (2012), Feliz día de tu muerte 2 (2019) y El chico del millón de dólares (2014).",Reparto,6
Irrfan Khan,1967,"The Lunchbox (2013), Paan Singh Tomar (2012) y Slumdog Millionaire (2008).","Reparto, Dirección, Producción",43
Adil Hussain,1963,"La vida de Pi (2012), English Vinglish (2012) y Hotel Salvación (2016).","Reparto, Producción",17
Tabu,1970,N/A,"Reparto, Música",42
Ayush Tandon,N/A,"su papel en La vida de Pi (2012), Bajirao Mastani (2015) y 7 Khoon Maaf (2011).",Reparto,42
Gautam Belur,N/A,su papel en La vida de Pi (2012).,Reparto,42
Ayaan Khan,N/A,N/A,Reparto,42
Mohd. Abbas Khaleeli,N/A,N/A,"Dirección de fotografía y cámara, Cámara y electricidad, Reparto",1
Vibish Sivakumar,N/A,N/A,Reparto,1
Rafe Spall,1983,"La gran apuesta (2015), La vida de Pi (2012) y Arma fatal (2007).","Reparto, Guion",3
Paul Dano,1984,"Pequeña Miss Sunshine (2006), Pozos de ambición (2007) y 12 años de esclavitud (2013).","Reparto, Producción, Dirección",26
Robert De Niro,1943,"El cabo del miedo (1991), Toro salvaje (1980) y El cazador (1978).","Reparto, Producción, Dirección",68
Julianne Moore,1960,N/A,"Reparto, Producción, Banda sonora",119
Olivia Thirlby,1986,N/A,"Reparto, Producción, Guion",2
Eddie Rouse,1954,"Pandorum (2009), Superfumados (2008) y Cuerpos de seguridad (Observe & Report) (2009).","Reparto, Guion, Dirección de fotografía y cámara",2
Steve Cirbus,N/A,"su papel en Soy leyenda (2007), Salt (2010) y The Kill Point (2007).","Reparto, Guion, Dirección",1
Lili Taylor,1967,N/A,"Reparto, Guion, Producción",23
Victor Rasuk,1984,"Los amos de Dogtown (2005), Godzilla (2014) y Cincuenta sombras de Grey (2015).","Reparto, Equipos adicionales",0
Liam Broggy,2000,"Ellas y ellos (2005), La vida de Flynn (2012) y Ladrón de guante blanco (2009).",Reparto,0
Chris Chalk,1977,"Así nos ven (2019), Perry Mason (2020) y Detroit (2017).","Reparto, Dirección, Guion",2
