actor,anio_nacimiento,conocido_por,que_hace,premios
Richard Goteri,N/A,"Yaniv, Jurassic Homecoming - The Motion Comic y Amanda and the Fox (2018).","Reparto, Producción, Guion",2
Sarah Sid,N/A,N/A,"Reparto, Guion, Vestuario",0
Buzz Jones,N/A,N/A,Equipos adicionales,0
Michael Mili,1957,"Killerman (2019), Amanda and the Fox (2018) y Cash Only (2015).","Reparto, Producción, Guion",0
Virginia Bryant,N/A,N/A,Reparto,0
Anastasia Maria Mili,2000,N/A,Reparto,0
Manoj Bajpayee,1969,"Gangs of Wasseypur (2012), Satya (1998) y Aks (2001).","Reparto, Producción, Música",58
Shriya Saran,1982,N/A,Reparto,4
Pawan Kalyan,1971,"Attarintiki Daredi (2013), Gabbar Singh (2012) y Jalsa (2008).","Reparto, Especialistas, Música",4
Saranya Ponvannan,1970,N/A,"Reparto, Música, Banda sonora",12
Nassar,1958,"Baahubali 2, la conclusión (2017), Baahubali: The Beginning (2015) y Caza a la espía (2010).","Reparto, Dirección, Guion",3
Girish Karnad,1938,"Ondanondu Kaladalli (1978), Tiger: Agente Especial (2012) y Godhuli (1977).","Reparto, Guion, Dirección",4
Mohammad Ali,1968,"Liger (2022), Super (2005) y Oka Laila Kosam (2014).",Reparto,2
Cochin Hanifa,1951,"Enthiran (2010), Paasa Paravaigal (1988) y Moonnu Masangalkku Munpu (1986).","Reparto, Guion, Dirección",1
Kovai Sarala,1962,N/A,"Reparto, Música, Banda sonora",4
Nikesha Patel,1990,N/A,Reparto,4
Luis Machín,1968,"Padre Coraje (2004), Necrofobia (2014) y El hombre que volvió de la muerte (2007).","Reparto, Dirección de fotografía y cámara, Equipos adicionales",1
Esther Goris,1963,N/A,"Reparto, Guion, Dirección",1
Carlos Belloso,1963,"Campeones de la vida (1999), Tumberos (2002) y La odisea de los giles (2019).","Reparto, Banda sonora",6
Florencia Peña,1974,N/A,"Reparto, Guion, Producción",4
Enrique Piñeyro,N/A,N/A,"Reparto, Producción, Dirección",8
Alfonso Pícaro,1928,"Pimienta (1966), La venganza (1999) y ¡Qué noche de casamiento! (1969).",Reparto,0
Vilma Ferrán,N/A,N/A,Reparto,0
Héctor Díaz,N/A,"su papel en Argentina, 1985 (2022), Glue (2006) y La flor (2018).","Reparto, Dirección",0
Eduardo Wigutow,N/A,N/A,Reparto,0
Mey Scápola,N/A,N/A,"Reparto, Guion",1
Elisabeth Shue,1963,N/A,"Reparto, Producción, Banda sonora",8
