actor,anio_nacimiento,conocido_por,que_hace,premios
Ashish Vidyarthi,1962,"Haider (2014), 24 (2013) y Droh Kaal (1994).","Reparto, Equipos adicionales",6
Shakti Kapoor,1952,"Andaz Apna Apna (1994), Gunda (1998) y Animal (2023).","Reparto, Música, Banda sonora",1
Vindu Dara Singh,1964,"Karma (2004), Ssshhhh.",Reparto,1
Adi Irani,1955,"Baazigar (1993), Raqt (2013) y Baadshah (1999).","Reparto, Dirección, Guion",1
Kipleigh Brown,1975,N/A,"Reparto, Guion",4
Chase Masterson,N/A,N/A,"Reparto, Producción, Guion",2
John Newton,1948,N/A,"Music Artist, Reparto, Música",21
Mik Scriba,1947,"Negociador (1998), Conspiración (1997) y Wild Wild West (1999).","Reparto, Producción",21
Nathan Mobley,N/A,"su papel en Gold (2008), Yesterday Was a Lie (2009) y Yesterday Was a Lie (2010).",Reparto,0
Warren Davis,N/A,N/A,"Reparto, Dirección, Edición",1
Megan Henning,1978,N/A,Reparto,1
Jennifer Slimko,1974,N/A,Reparto,0
Robert Siegel,1971,"Bienvenidos a Chippendales (2022), Pam & Tommy (2022) y Big Fan (2009).","Guion, Dirección, Producción",3
Peter Mayhew,1944,"Star Wars: El despertar de la Fuerza (2015), El imperio contraataca (1980) y La guerra de las galaxias (1977).","Reparto, Producción, Equipos adicionales",0
Zoltán Mucsi,1957,"El topo (2011), 1 (2009) y Kontroll (2003).",Reparto,3
László Sinkó,N/A,N/A,Reparto,0
Pál Mácsai,N/A,N/A,Reparto,2
Vica Kerekes,1981,N/A,Reparto,3
Balázs Czukor,N/A,N/A,Reparto,0
Zoltán Balázs,N/A,N/A,Reparto,0
Máté Haumann,1980,"Oppenheimer (2023), Jack Ryan (2018) y Colette (2018).","Reparto, Guion, Efectos visuales",0
Krzysztof Rogacewicz,N/A,N/A,Reparto,0
Zoltán Berzsenyi,N/A,N/A,Reparto,0
Krisztina Bíró,N/A,N/A,Reparto,0
Éva Gábor,1919,N/A,"Reparto, Banda sonora",1
István Znamenák,1966,"Az állampolgár (2016), Taxidermia (2006) y Una vida regalada (Aranyelet) (2015).","Reparto, Dirección, Dirección de fotografía y cámara",1
Ákos Horváth,1968,"Kontroll (2003), Haunting Trophies (2024) y A Pásztor (2019).","Reparto, Guion",3
Lia Pokorny,1971,N/A,Reparto,3
Izabella Hegyi,N/A,N/A,Reparto,3
Szabolcs Thuróczy,1971,"Matones sobre ruedas (2016), Sandwich (2017) y White God (2014).","Reparto, Guion",3
Ági Margitai,1937,N/A,Reparto,0
Eszter Márton,N/A,N/A,"Guion, Reparto",0
Lóránt Matta,N/A,N/A,Reparto,0
Róbert Kardos,N/A,N/A,"Reparto, Dirección, Guion",1
Kornél Mundruczó,1975,"Jupiter's Moon (2017), White God (2014) y Fragmentos de una mujer (2020).","Reparto, Dirección, Guion",46
Daniel Olbrychski,1945,"Salt (2010), El diluvio (1974) y El tambor de hojalata (1979).","Reparto, Dirección de la segunda unidad o asistencia a dirección",9
Zoltán Mucsi,1957,"El topo (2011), 1 (2009) y Kontroll (2003).",Reparto,3
Gábor Nagypál,1975,"Inferno (2016), Monte Carlo (2011) y The Company (2007).",Reparto,0
György Cserhalmi,1948,"Kontroll (2003), Zelary (2003) y Hajnali háztetök (1986).",Reparto,8
Simon Szabó,1979,"Moszkva tér (2001), Zuhanórepülés (2007) y Papírrepülôk (2009).","Reparto, Guion, Dirección",5
Florian Teichtmeister,1979,"Sommer der Gaukler (2011), Polly Adler (2008) y Die Chefin (2012).","Reparto, Banda sonora",1
Péter Scherer,1961,"Kontroll (2003), Trezor (2018) y Galatasaray-Dépor (2005).","Reparto, Producción",1
Miklós Székely B.,1948,"Sátántangó (1994), Hintaszék (2022) y A Pásztor (2019).",Reparto,4
László Gálffi,1952,"Semmelweis (2023), Wagner (1983) y Liszt Ferenc (1982).",Reparto,1
Zoltán Rátóti,1960,"Európa expressz (1999), Életképek (2004) y The Gravy Train Goes East (1991).","Reparto, Dirección",0
Yu Debin,N/A,N/A,"Reparto, Efectos visuales",0
Eszter Bánfalvi,N/A,N/A,Reparto,0
Ferenc Lengyel,N/A,N/A,"Reparto, Guion",0
Attila Egyed,N/A,N/A,"Reparto, Arte",0
Shan Yu Tio,N/A,N/A,Reparto,0
Erika Horváth,N/A,N/A,Reparto,0
Uwe Lauer,N/A,"su papel en El hijo de Saúl (2015), Viharsarok (2014) y Painkiller Jane (2007).","Reparto, Equipos adicionales",0
Gábor Pintér,N/A,N/A,"Reparto, Equipos adicionales, Dirección de la segunda unidad o asistencia a dirección",0
Szabolcs Thuróczy,1971,"Matones sobre ruedas (2016), Sandwich (2017) y White God (2014).","Reparto, Guion",3
R.J. Adams,N/A,N/A,"Reparto, Guion, Dirección",0
Rob Adams,1970,"The Studio Club (2014), The Final Journey (2010) y Forrest Gump (1994).","Reparto, Equipo ejecutivo",0
Philip Winchester,1981,"Strike Back (2010), The Player (2015) y Ley y orden: Unidad de Víctimas Especiales (1999).","Reparto, Producción",1
Tim Draxl,1981,"Una boda de muerte (2011), Interceptor (2022) y Mientras duermo (2010).",Reparto,0
Lacey Chabert,1982,N/A,"Reparto, Producción, Guion",7
Abigail Spencer,N/A,N/A,"Reparto, Producción, Guion",2
Kelly Overton,1978,N/A,"Reparto, Producción, Dirección",3
Amy Aquino,1957,N/A,"Reparto, Producción, Banda sonora",1
Tony Hale,1970,"Arrested Development (2003), Veep (2012) y Toy Story 4 (2019).","Reparto, Producción, Guion",11
Kevin Kilner,1958,"Mamá a la fuerza (2004), Una Cenicienta moderna (2004) y Solo en casa 3 (1997).",Reparto,11
Aidan Mitchell,1993,"The Riches - Familia de impostores (2007), El remedio de la naturaleza (2007) y Mientras duermo (2010).",Reparto,1
Michael Badalucco,1954,"El profesional (Léon) (1994), El abogado (1997) y O Brother! (2000).","Reparto, Arte, Producción",1
Daniel Ball,N/A,"Last Summer (2014), Birth Control y In Reverie (2015).","Reparto, Dirección, Producción",0
Ande Cira,N/A,N/A,"Reparto, Guion",0
Michael Callahan,N/A,"su papel en Tarot: The Arcane Chronicles (2018), Braking for Whales (2019) y Empire Waist (2024).","Reparto, Responsable",0
Frankie J. Mosca,N/A,N/A,"Reparto, Guion, Dirección",0
Christopher Pleckaitis,N/A,N/A,"Reparto, Guion, Producción",0
Brian Calek,N/A,N/A,Reparto,0
Carol Wei,N/A,N/A,Equipos adicionales,0
Chris Johnson,1977,"A 47 metros (2017), The Orville (2017) y Crónicas vampíricas (2009).","Reparto, Producción, Equipo ejecutivo",0
Sal DeLucia,N/A,su papel en This Wretched Life (2010).,"Guion, Reparto, Producción",0
Sarah Caliendo,N/A,N/A,Reparto,0
Jennifer Jelsema,N/A,N/A,Reparto,4
Sam Logan Khaleghi,1983,"Batman v Superman: El amanecer de la justicia (2016), Approaching Midnight (2013) y An Intrusion (2021).","Producción, Reparto, Dirección",0
Mark Boyd,N/A,"su papel en 12 monos (2015), A Girl Like Her (2015) y Roller Girls (2009).",Reparto,7
Casey James,N/A,"su papel en Bleeding Hearts: The Arteries of Glenda Bryant (2017), The Young and the Restless (1973) y Summerland (2004).",Reparto,7
Jeff Priskorn,1971,"Faith Under Fire (2020), Demon Equation (2013) y Love & Plutonium (2005).","Reparto, Producción, Guion",7
Alaina Fleming,N/A,N/A,"Reparto, Dirección de producción",7
Jonathan Leigh West,N/A,"su papel en Batman v Superman: El amanecer de la justicia (2016), Renegade (2012) y Eastern Citrus.","Reparto, Guion, Dirección de la segunda unidad o asistencia a dirección",7
Valentina Arnold,N/A,N/A,Reparto,0
Michael Sneed,N/A,"su papel en Crystal (2017), Butterfly Kisses (2010) y Waitress (2022).","Dirección, Guion, Producción",0
Matthew J. Boucher,N/A,N/A,Reparto,0
Michael Warren,1946,"Anderson's Cross (2010), Canción triste de Hill Street (1981) y Sierra (1974).","Reparto, Producción, Banda sonora",1
Joanna Cassidy,N/A,N/A,"Reparto, Producción, Equipos adicionales",6
Joyce Guy,N/A,N/A,"Reparto, Dirección, Guion",0
Bill Moseley,1951,"Los renegados del diablo (2005), Repo! The Genetic Opera (2008) y La casa de los 1000 cadáveres (2003).","Reparto, Producción, Guion",4
Jerome Elston Scott,N/A,"su papel en Connor & Jayden (2022), Anderson's Cross (2010) y Instituto McKinley (1999).","Reparto, Dirección, Guion",0
Alan Blumenfeld,1952,"Héroes (2006), El puente de Brooklyn (1991) y Asesinato justo (2008).","Reparto, Producción, Equipos adicionales",0
Art Evans,1942,"La jungla 2 (Alerta roja) (1990), Por favor, maten a mi mujer (1986) y El negociador (1997).",Reparto,0
Nicholas Downs,1976,"Pearl Harbor (2001), Anderson's Cross (2010) y Constantine (2005).","Producción, Guion, Reparto",1
Heather Bergdahl,N/A,N/A,Reparto,1
Micah Stuart,N/A,"su papel en Johnny (2016), Izzy Gets the Fuck Across Town (2017) y Sadie (2016).","Edición, Dirección, Guion",4
Mandy Moore,1984,N/A,"Reparto, Guion, Producción",16
Zachary Levi,1980,"¡Shazam! (2019), Chuck (2007) y Enredados (2010).","Reparto, Producción, Dirección",3
Donna Murphy,N/A,N/A,"Reparto, Banda sonora",2
Ron Perlman,1950,"La mano de Dios (2014), Hellboy II: El ejército dorado (2008) y Hellboy (2004).","Reparto, Producción, Dirección",13
