actor,anio_nacimiento,conocido_por,que_hace,premios
Estelle Harris,1928,N/A,Reparto,0
John Morris,1984,"Toy Story (1995), Toy Story 3 (2010) y Toy Story 2 (1999).","Reparto, Equipos adicionales",0
Joe O'Byrne,N/A,"su papel en Lookin' for Lucky (2009), The Cops (1998) y Diary of a Bad Lad (2010).","Reparto, Guion, Producción",0
Paul Birtwistle,N/A,"su papel en A Plateful of Tony (2013), Bar Stewards (2025) y Tash Force (2012).","Reparto, Guion, Producción",0
Donna Henry,N/A,N/A,"Reparto, Arte, Maquillaje",0
Roxanne Gregory,N/A,N/A,Reparto,0
Clive Bonelle,N/A,"su papel en Shameless (2004), Lookin' for Lucky (2009) y Eleventh Hour (2006).",Reparto,0
James Foster,N/A,N/A,Reparto,0
Jonathan Williams,N/A,N/A,"Música, Banda sonora",0
Tim Paley,N/A,"su papel en The Selfish Giant (2013), Valerie's Orchard (2007) y Curiosity (2007).","Reparto, Producción, Guion",0
Chris Leonard,N/A,N/A,"Composición, Banda sonora",0
Michael Booth,N/A,N/A,Reparto,0
Michael Cera,1988,"Scott Pilgrim contra el mundo (2010), Supersalidos (2007) y Juno (2007).","Reparto, Producción, Dirección",9
Mary Elizabeth Winstead,1984,N/A,"Reparto, Producción, Banda sonora",4
Kieran Culkin,1982,"Succession (2018), La gran caída de Igby (2002) y Scott Pilgrim contra el mundo (2010).",Reparto,16
Anna Kendrick,1985,N/A,"Reparto, Producción, Dirección",20
Alison Pill,1985,N/A,"Reparto, Banda sonora",4
Aubrey Plaza,1984,N/A,"Reparto, Producción, Guion",12
Jason Schwartzman,1980,"Academia Rushmore (1998), Viaje a Darjeeling (2007) y Moonrise Kingdom (2012).","Reparto, Música, Producción",13
Johnny Simmons,1986,"Las ventajas de ser un marginado (2012), Scott Pilgrim contra el mundo (2010) y Jennifer's Body (2009).",Reparto,1
Mark Webber,1980,"Flesh and Blood (2017), The End of Love (2012) y Green Room (2015).","Reparto, Dirección, Guion",7
Ellen Wong,1985,N/A,"Reparto, Producción, Guion",1
Jon Foo,1982,"Tekken (2010), Thai Dragon (2005) y Soldado universal: Regeneración (2009).","Reparto, Especialistas",1
Kelly Overton,1978,N/A,"Reparto, Producción, Dirección",3
Cary-Hiroyuki Tagawa,1950,"Mortal Kombat (1995), El planeta de los simios (2001) y Tekken (2010).","Reparto, Producción, Equipos adicionales",1
Ian Anthony Dale,1978,"The Walking Dead (2010), The Resident (2018) y Hawai 5.","Reparto, Dirección",1
Cung Le,1972,"Pandorum (2009), Tekken (2010) y The Grandmaster (2013).","Reparto, Producción, Especialistas",1
Darrin Dewitt Henson,1972,"Tekken (2010), El expreso de Elmira (2008) y Soul Food (2000).","Reparto, Producción, Equipos adicionales",1
Luke Goss,1968,"Hellboy II: El ejército dorado (2008), Blade II (2002) y Tekken (2010).","Reparto, Producción, Dirección",1
Mircea Monroe,1982,N/A,"Reparto, Producción",3
Tamlyn Tomita,1966,N/A,"Reparto, Guion, Producción",4
Candice Hillebrand,1977,N/A,Reparto,0
Liam Neeson,1952,"Kinsey (2004), La lista de Schindler (1993) y Infierno blanco (2011).","Reparto, Producción, Banda sonora",24
Bradley Cooper,1975,"Ha nacido una estrella (2018), El lado bueno de las cosas (2012) y El francotirador (2014).","Reparto, Producción, Dirección",71
Sharlto Copley,1973,"Distrito 9 (2009), Chappie (2015) y Hardcore Henry (2015).","Reparto, Producción, Dirección",1
Jessica Biel,1982,N/A,"Reparto, Producción, Dirección",6
Quinton 'Rampage' Jackson,1978,"El equipo A (2010), El vagón de la muerte (2008) y Muere otra vez (2020).","Reparto, Producción",6
Patrick Wilson,1973,"El fantasma de la ópera de Andrew Lloyd Webber (2004), Hard Candy (2005) y Insidious (2010).","Reparto, Producción, Dirección",3
Gerald McRaney,1947,"Focus (2015), El equipo A (2010) y Simon & Simon (1981).","Reparto, Producción, Dirección",3
Henry Czerny,1959,"Mission: Impossible (1996), Peligro inminente (1994) y La pantera rosa (2006).",Reparto,4
Yul Vazquez,N/A,"Separación (2022), El visitante (2020) y Muñeca rusa (2019).","Reparto, Producción, Equipos adicionales",0
Brian Bloom,1970,"El equipo A (2010), Call of Duty: Modern Warfare (2019) y Wolfenstein II: The New Colossus (2017).","Reparto, Guion, Producción",2
Thiago Lacerda,N/A,N/A,Reparto,1
Ângela Vieira,N/A,N/A,Reparto,2
Milton Gonçalves,1933,"Carandiru (2003), A Rainha Diaba (1974) y À Sombra dos Laranjais (1977).","Reparto, Dirección",5
Marcio Rosario,1971,"Bergamota (2023), Síntonia (2019) y I Love Paraisópolis (2015).","Reparto, Producción, Guion",12
Gracindo Júnior,1943,"Paulo Gracindo - O Bem Amado (2009), Bonitinha, Mas Ordinária (2013) y A Queda (2020).","Reparto, Dirección, Guion",1
Ailton Graça,1964,"Carandiru (2003), América (2005) y Mussum: O Filmis (2023).","Reparto, Producción, Banda sonora",10
Sheila Mello,N/A,N/A,Reparto,0
Viviane Victorette,N/A,N/A,Reparto,0
Gilberto Torres,N/A,N/A,Reparto,0
Sônia Lima,N/A,N/A,Reparto,0
