actor,anio_nacimiento,conocido_por,que_hace,premios
Salma Hayek,1966,N/A,"Reparto, Producción, Dirección",23
Zach Galifianakis,1969,"Resacón en Las Vegas (2009), Birdman o (La inesperada virtud de la ignorancia) (2014) y Salidos de cuentas (2010).","Reparto, Producción, Guion",22
Billy Bob Thornton,1955,"El otro lado de la vida (1996), Un plan sencillo (1998) y El hombre que nunca estuvo allí (2001).","Reparto, Guion, Dirección",32
Amy Sedaris,1961,N/A,"Reparto, Guion, Producción",0
Constance Marie,1965,N/A,"Reparto, Banda sonora",4
Guillermo del Toro,1964,"El laberinto del fauno (2006), Hellboy (2004) y Pinocho de Guillermo del Toro (2022).","Guion, Producción, Dirección",130
Mike Mitchell,1982,"La guerra del mañana (2021), The Birthday Boys (2013) y Love (2016).","Guion, Producción, Reparto",0
Rich Dietl,N/A,N/A,"Edición, Reparto, Edición",0
Ryan Crego,N/A,N/A,"Producción, Guion, Dirección",0
Vladimir Epifantsev,1971,"Generation P (2011), Zhivoy (2006) y Zelyonyy slonik 2: Preslovutoye pokoleniye (2023).","Reparto, Dirección, Dirección de fotografía y cámara",1
Mikhail Efremov,1963,"12 (2007), Koroleva Margo (1996) y Anti Killer (2002).",Reparto,6
Andrey Fomin,1964,"Ikariya, La pequeña Vera (1988) y Generation P (2011).",Reparto,6
Sergey Shnurov,1973,"Bumer (2003), Guardianes de la noche (2004) y Guardianes del día (2006).","Composición, Reparto, Música",3
Vladimir Menshov,1939,"Guardianes de la noche (2004), Moscú no cree en las lágrimas (1980) y Guardianes del día (2006).","Reparto, Producción, Guion",3
Oleg Taktarov,1967,"Predators (2010), La búsqueda (National Treasure) (2004) y 15 minutos (2001).",Reparto,3
Ivan Okhlobystin,1966,"Interny (2010), Ierey-san.","Reparto, Guion, Dirección",4
Andrey Panin,1962,"Yady, ili vsemirnaya istoriya otravleniy (2001), La boda (2000) y Boy s tenyu II.","Reparto, Dirección",6
Leonid Parfyonov,N/A,"su papel en Zvorykin-Muromets (2010), Ves' Zhvanetskiy (1998) y Russkie evrei.","Guion, Dirección, Producción",0
Aleksandr Gordon,1931,"Los asesinos (1956), Skhvatka v purge (1978) y Vykup (1986).","Dirección, Guion, Reparto",0
Miguel Rodarte,1971,"Tiempo compartido (2018), Destilando México (2018) y Macho (2016).","Reparto, Producción",2
Jesús Ochoa,1959,"El fuego de la venganza (2004), Quantum of Solace (2008) y Vacaciones en el infierno (2012).","Reparto, Dirección, Guion",7
