actor,anio_nacimiento,conocido_por,que_hace,premios
Akira Ishida,1967,"Naruto (2002), Gintama (2005) y Mobile Suit Gundam Seed (2002).",Reparto,0
Yuriko Yamaguchi,1965,N/A,"Reparto, Banda sonora",0
Fumihiko Tachiki,1961,"Neon Genesis Evangelion: The End of Evangelion (1997), Evangelion: 3.","Reparto, Música, Banda sonora",0
Motomu Kiyokawa,1935,"Neon Genesis Evangelion: The End of Evangelion (1997), Evangelion: 3.",Reparto,0
Takehito Koyasu,1967,"Neon Genesis Evangelion: The End of Evangelion (1997), Evangelion 1.","Reparto, Guion, Música",0
Andrew Garfield,1983,"Hasta el último hombre (Hacksaw Ridge) (2016), The Amazing Spider-Man (2012) y The Amazing Spider-Man 2: El poder de Electro (2014).","Reparto, Producción, Banda sonora",39
Emma Stone,1988,N/A,"Reparto, Producción, Banda sonora",109
Rhys Ifans,1967,"Notting Hill (1999), The Amazing Spider-Man (2012) y Anonymous (2011).","Reparto, Producción, Banda sonora",4
Irrfan Khan,1967,"The Lunchbox (2013), Paan Singh Tomar (2012) y Slumdog Millionaire (2008).","Reparto, Dirección, Producción",43
Denis Leary,1957,"Rescue Me: Equipo de rescate (2004), El secreto de Thomas Crown (1999) y Esto (no) es un secuestro (1994).","Guion, Reparto, Producción",3
Martin Sheen,1940,"Infiltrados (2006), Malas tierras (1973) y Apocalypse Now (1979).","Reparto, Producción, Dirección",31
Sally Field,1946,N/A,"Reparto, Producción, Dirección",48
Campbell Scott,1961,"Big Night (1996), Roger Dodger (2002) y Solteros (1992).","Reparto, Producción, Dirección",7
Embeth Davidtz,1965,N/A,"Reparto, Dirección, Guion",1
Chris Zylka,1985,"Tiburón 3D: La presa (2011), The Amazing Spider-Man (2012) y Piraña 2 3D (2012).","Reparto, Producción, Dirección",0
Adam Sandler,1966,"El aguador (1998), Little Nicky (2000) y El chico ideal (1998).","Reparto, Producción, Guion",77
Kevin James,1965,"Superpoli de centro comercial (2009), Superpoli en Las Vegas (2015) y Peso pesado (2012).","Reparto, Producción, Guion",1
Andy Samberg,1978,"Saturday Night Live (1975), Popstar (2016) y Palm Springs (2020).","Reparto, Producción, Guion",12
Selena Gomez,1992,N/A,"Music Artist, Reparto, Música",123
Fran Drescher,1957,N/A,"Guion, Reparto, Producción",7
Steve Buscemi,1957,"Fargo (1996), Ghost World (2001) y Reservoir Dogs (1992).","Reparto, Producción, Dirección",31
Molly Shannon,1964,N/A,"Reparto, Guion, Producción",8
David Spade,1964,"La sucia historia de Joe Guarro (2001), Tommy Boy (1995) y Los calientabanquillos (2006).","Reparto, Guion, Producción",4
CeeLo Green,1975,"Hotel Transilvania (2012), La saga Crepúsculo: Eclipse (2010) y Footloose (2011).","Reparto, Composición, Guion",7
Jon Lovitz,1957,"Happiness (1998), Ellas dan el golpe (1992) y Ratas a la carrera (2001).","Reparto, Guion, Producción",1
Martin Freeman,1971,"Black Panther (2018), El hobbit: Un viaje inesperado (2012) y El hobbit: La desolación de Smaug (2013).","Reparto, Guion, Producción",13
Ian McKellen,1939,"El señor de los anillos: La comunidad del anillo (2001), El señor de los anillos: El retorno del rey (2003) y Dioses y monstruos (1998).","Reparto, Guion, Producción",53
Richard Armitage,1971,"El hobbit: Un viaje inesperado (2012), El hobbit: La batalla de los cinco ejércitos (2014) y El hobbit: La desolación de Smaug (2013).","Reparto, Producción, Guion",6
Andy Serkis,1964,"La guerra del planeta de los simios (2017), El origen del planeta de los simios (2011) y El amanecer del planeta de los simios (2014).","Reparto, Producción, Dirección",43
Ken Stott,1954,"El hobbit: Un viaje inesperado (2012), El hobbit: La desolación de Smaug (2013) y El hobbit: La batalla de los cinco ejércitos (2014).","Reparto, Banda sonora",2
Graham McTavish,1961,"El hobbit: Un viaje inesperado (2012), El hobbit: La desolación de Smaug (2013) y John Rambo (2008).","Reparto, Producción, Dirección",2
William Kircher,N/A,"su papel en El hobbit: Un viaje inesperado (2012), El hobbit: La desolación de Smaug (2013) y El hobbit: La batalla de los cinco ejércitos (2014).","Reparto, Música, Equipos adicionales",3
James Nesbitt,1965,"El hobbit: Un viaje inesperado (2012), Despertando a Ned (1998) y Domingo sangriento (2002).","Reparto, Equipos adicionales, Producción",10
Stephen Hunter,N/A,"su papel en El hobbit: Un viaje inesperado (2012), El hobbit: La desolación de Smaug (2013) y El hobbit: La batalla de los cinco ejércitos (2014).","Reparto, Dirección, Banda sonora",0
Dean O'Gorman,1976,"El hobbit: La desolación de Smaug (2013), El hobbit: Un viaje inesperado (2012) y Trumbo: La lista negra de Hollywood (2015).","Reparto, Dirección, Guion",0
Natasha Calis,1999,N/A,"Reparto, Producción",0
Jeffrey Dean Morgan,1966,"Watchmen (2009), Proyecto Rampage (2018) y The Walking Dead (2010).","Reparto, Producción, Banda sonora",6
Kyra Sedgwick,1965,N/A,"Reparto, Producción, Dirección",12
Madison Davenport,N/A,N/A,"Reparto, Banda sonora",1
Matisyahu,1979,"The Possession: El origen del mal (2012), Lío embarazoso (2007) y King Without a Crown.","Reparto, Composición, Guion",1
Grant Show,1962,"The Possession: El origen del mal (2012), Ryan's Hope (1975) y La chica de al lado (2007).","Reparto, Dirección, Producción",0
Rob LaBelle,1962,"Watchmen (2009), El hombre en el castillo (2015) y Motive (2013).","Reparto, Producción, Dirección",1
Nana Gbewonyo,1980,"Coach Carter (2005), The Possession: El origen del mal (2012) y Gran Torino (2008).",Reparto,1
Anna Hagan,1939,N/A,Reparto,1
Brenda Crichlow,1967,N/A,"Reparto, Equipos adicionales",1
Piper Laurie,1932,N/A,"Reparto, Dirección, Banda sonora",11
