actor,anio_nacimiento,conocido_por,que_hace,premios
James McAvoy,1979,"Filth, el sucio (2013), Múltiple (2016) y Expiación.","Reparto, Dirección, Producción",22
Emily Blunt,1983,N/A,"Reparto, Producción, Equipos adicionales",27
Maggie Smith,1934,N/A,"Reparto, Banda sonora",50
Ashley Jensen,1969,N/A,"Reparto, Dirección de arte, Producción",4
Michael Caine,1933,"El caballero oscuro (2008), La juventud (2015) y Las normas de la casa de la sidra (1999).","Reparto, Producción, Equipos adicionales",43
Matt Lucas,1974,"Little Britain (2003), La boda de mi mejor amiga (2011) y Alicia a través del espejo (2016).","Reparto, Guion, Producción",7
Jim Cummings,1952,N/A,"Reparto, Banda sonora, Equipos adicionales",7
Jason Statham,1967,"Crank: Veneno en la sangre (2006), Fast & Furious 7 (2015) y Espías (2015).","Reparto, Producción, Especialistas",1
Ozzy Osbourne,1948,"Little Nicky (2000), Austin Powers en Miembro de Oro (2002) y Gnomeo y Julieta (2011).","Music Artist, Reparto, Música",9
Stephen Merchant,1974,"Extras (2005), Peleando en familia (2019) y Logan (2017).","Guion, Producción, Reparto",17
Peter Abraham,1934,"Muñeco diabólico 3 (1991), Muñeco diabólico 2 (1990) y El precio de la fama (1969).",Reparto,0
Rebecca Friese,N/A,N/A,Reparto,0
Natalie James,N/A,N/A,"Dirección, Guion, Producción",4
Al Liner,N/A,N/A,"1949, Approved, 1h 1min",4
Mitchell Marks,N/A,N/A,Reparto,4
Brenda Galilee Rhodes,N/A,N/A,"Producción, Reparto, Dirección",0
Teresa Anne Volgenau,N/A,N/A,Reparto,0
Hamilton von Watts,1972,"Good Burger (1997), The Nutty Professor (El profesor chiflado) (1996) y Los reyes del crimen (2001).","Reparto, Producción, Guion",0
Melissa Joan Hart,1976,N/A,"Reparto, Producción, Dirección",12
Michael Cudlitz,1964,"Un asesino algo especial (1997), The Walking Dead (2010) y Sex Drive (2008).","Reparto, Arte, Dirección",3
Robert Guillaume,1927,"Benson (1979), El rey león (1994) y Sports Night (1998).","Reparto, Producción, Dirección",7
Alley Mills,1951,N/A,"Reparto, Producción, Banda sonora",3
Stacey Travis,N/A,N/A,Reparto,3
Jackie Debatin,1970,N/A,"Reparto, Producción",3
Perry Anzilotti,1959,"La sombra de los culpables (1997), Crossworlds: entre dos mundos (1996) y Criando malvas (2007).","Reparto, Producción, Dirección",3
Chip Bent,N/A,"su papel en Nine Dead (2009), McCartney's Genes (2008) y Satin (2011).","Reparto, Producción",3
Victor Rivers,N/A,N/A,Reparto,3
Antonio Banderas,1960,"La máscara del Zorro (1998), La piel que habito (2011) y El guerrero nº 13 (1999).","Reparto, Producción, Guion",68
Salma Hayek,1966,N/A,"Reparto, Producción, Dirección",23
Zach Galifianakis,1969,"Resacón en Las Vegas (2009), Birdman o (La inesperada virtud de la ignorancia) (2014) y Salidos de cuentas (2010).","Reparto, Producción, Guion",22
Billy Bob Thornton,1955,"El otro lado de la vida (1996), Un plan sencillo (1998) y El hombre que nunca estuvo allí (2001).","Reparto, Guion, Dirección",32
Amy Sedaris,1961,N/A,"Reparto, Guion, Producción",0
Constance Marie,1965,N/A,"Reparto, Banda sonora",4
Guillermo del Toro,1964,"El laberinto del fauno (2006), Hellboy (2004) y Pinocho de Guillermo del Toro (2022).","Guion, Producción, Dirección",130
Mike Mitchell,1982,"La guerra del mañana (2021), The Birthday Boys (2013) y Love (2016).","Guion, Producción, Reparto",0
Rich Dietl,N/A,N/A,"Edición, Reparto, Edición",0
Ryan Crego,N/A,N/A,"Producción, Guion, Dirección",0
Vladimir Epifantsev,1971,"Generation P (2011), Zhivoy (2006) y Zelyonyy slonik 2: Preslovutoye pokoleniye (2023).","Reparto, Dirección, Dirección de fotografía y cámara",1
Mikhail Efremov,1963,"12 (2007), Koroleva Margo (1996) y Anti Killer (2002).",Reparto,6
Andrey Fomin,1964,"Ikariya, La pequeña Vera (1988) y Generation P (2011).",Reparto,6
Sergey Shnurov,1973,"Bumer (2003), Guardianes de la noche (2004) y Guardianes del día (2006).","Composición, Reparto, Música",3
Vladimir Menshov,1939,"Guardianes de la noche (2004), Moscú no cree en las lágrimas (1980) y Guardianes del día (2006).","Reparto, Producción, Guion",3
Oleg Taktarov,1967,"Predators (2010), La búsqueda (National Treasure) (2004) y 15 minutos (2001).",Reparto,3
Ivan Okhlobystin,1966,"Interny (2010), Ierey-san.","Reparto, Guion, Dirección",4
Andrey Panin,1962,"Yady, ili vsemirnaya istoriya otravleniy (2001), La boda (2000) y Boy s tenyu II.","Reparto, Dirección",6
Leonid Parfyonov,N/A,"su papel en Zvorykin-Muromets (2010), Ves' Zhvanetskiy (1998) y Russkie evrei.","Guion, Dirección, Producción",0
Aleksandr Gordon,1931,"Los asesinos (1956), Skhvatka v purge (1978) y Vykup (1986).","Dirección, Guion, Reparto",0
Miguel Rodarte,1971,"Tiempo compartido (2018), Destilando México (2018) y Macho (2016).","Reparto, Producción",2
