actor,anio_nacimiento,conocido_por,que_hace,premios
Loïc Peckels,N/A,su papel en House of Boys (2009) y Perl oder Pica (2006).,Reparto,0
Layke Anderson,1983,"Dylan's Room (2012), Happy Thoughts (2014) y Mankind (2019).","Reparto, Dirección, Producción",13
Harry Ferrier,N/A,"su papel en House of Boys (2009), La ronda de noche (2007) y The Silence (2010).",Reparto,13
Michael N. Kuehl,1987,"Alles was zählt (2006), No hablo espanol (2020) y Romeos (2011).","Reparto, Dirección, Dirección de producción",0
Gintare Parulyte,N/A,N/A,"Reparto, Dirección, Guion",1
Sascha Ley,1967,N/A,"Reparto, Música",1
Chris McHallem,1960,"La joven de la perla (2003), La joven Jane Austen (2007) y El Caballero Verde (2021).","Reparto, Guion, Dirección",0
Natalie Slevin,N/A,N/A,Reparto,0
Kelly Jake,N/A,"su papel en The Flash: Requiem, Vengeance (2019) y Branded Tigers (2023).",Reparto,0
Benn Northover,1978,"Harry Potter y las Reliquias de la Muerte: Parte 2 (2011), El guardián invisible (2017) y How to Draw a Mountain (2024).","Reparto, Dirección, Edición",0
Michael Cera,1988,"Scott Pilgrim contra el mundo (2010), Supersalidos (2007) y Juno (2007).","Reparto, Producción, Dirección",9
Portia Doubleday,1988,N/A,"Reparto, Producción, Banda sonora",0
Jean Smart,1951,N/A,"Reparto, Producción, Banda sonora",44
Zach Galifianakis,1969,"Resacón en Las Vegas (2009), Birdman o (La inesperada virtud de la ignorancia) (2014) y Salidos de cuentas (2010).","Reparto, Producción, Guion",22
Erik Knudsen,1988,"Scott Pilgrim contra el mundo (2010), Scream 4 (2011) y Saw II (2005).","Reparto, Banda sonora",0
Adhir Kalyan,1983,"Reglas de compromiso (2007), Superpoli de centro comercial (2009) y Rebelión adolescente (2009).",Reparto,0
Steve Buscemi,1957,"Fargo (1996), Ghost World (2001) y Reservoir Dogs (1992).","Reparto, Producción, Dirección",31
Fred Willard,1933,"Very Important Perros (2000), Un poderoso viento (2003) y El reportero: La leyenda de Ron Burgundy (2004).","Reparto, Guion, Banda sonora",4
Ari Graynor,1983,N/A,"Reparto, Producción, Banda sonora",2
Ray Liotta,1954,"Narc (2002), Uno de los nuestros (1990) y Algo salvaje (1986).","Reparto, Producción, Banda sonora",10
Enikõ Eszenyi,1961,N/A,"Reparto, Dirección, Equipos adicionales",1
Ernõ Fekete,1972,"El hijo de Saúl (2015), Bet on Revenge (2017) y Foglyok (2019).",Reparto,1
Zsuzsa Czinkóczi,1967,N/A,Reparto,1
Beata Fudalej,1966,N/A,Reparto,0
György Cserhalmi,1948,"Kontroll (2003), Zelary (2003) y Hajnali háztetök (1986).",Reparto,8
Gabriella Hámori,1978,N/A,Reparto,6
Adél Kováts,1962,N/A,Reparto,0
Tibor Gáspár,1957,"Másnap (2004), Una vida regalada (Aranyelet) (2015) y Illúziók (2009).",Reparto,2
Zoltán Seress,N/A,N/A,"Reparto, Banda sonora",0
Juli Básti,1957,N/A,"Reparto, Banda sonora",1
Anton Pardoe,N/A,"su papel en Entre copas (2004), The Perfect Sleep (2009) y Carretera perdida (1997).","Localización, Producción, Guion",1
Anthony Dilio,N/A,"su papel en Zombieland: Mata y remata (2019), Los increíbles Powell (2010) y The Perfect Sleep (2009).",Reparto,1
David Beck,1975,"Only Fools and Horses: Beckham in Peckham (2014), Operación U.","Reparto, Producción, Equipos adicionales",4
Ken Clark,1927,"El pantano diabólico (1959), FBI chiama Istanbul (1964) y Operación Lady Chaplin (1966).",Reparto,4
Ryan Fitzgerald,N/A,"su papel en Hot Shots! (1991), De repente Susan (1996) y Camp (2003).",Reparto,0
