actor,anio_nacimiento,conocido_por,que_hace,premios
Mark Margolis,1939,"Pi, fe en el caos (1998), Réquiem por un sueño (2000) y Ace Ventura: Un detective diferente (1994).",Reparto,0
Mickey Rourke,1952,"Sin City: Ciudad del pecado (2005), The Wrestler (2008) y El corazón del ángel (1987).","Reparto, Guion, Producción",41
David Jensen,1952,"Midnight Special (2016), Queen Sugar (2016) y El curioso caso de Benjamin Button (2008).","Reparto, Cámara y electricidad, Producción",3
Andrea Frankle,N/A,N/A,Reparto,3
Clyde Risley Jones,N/A,N/A,"Reparto, Producción, Guion",3
Elena Goode,N/A,N/A,"Reparto, Equipos adicionales",0
Guillermo Iván,N/A,"En el punto de mira (2008), The Strike (2016) y Habana Instant (2015).","Reparto, Producción, Dirección",4
Robin de Jesus,1984,"tick, tick.","Reparto, Banda sonora",1
Alfredo Narciso,1973,"La Torre Oscura (2017), El verano en que me enamoré (2022) y Manifest (2018).","Reparto, Producción",1
Elaine del Valle,N/A,N/A,"Reparto, Dirección, Guion",3
Antoni Porowski,1984,"Ojcu (2015), Queer Eye (2018) y The Blacklist (2013).","Reparto, Producción",1
Jermaine Montell,N/A,"su papel en Sister Act 2: De vuelta al convento (1993), Clueless (Fuera de onda) (1995) y Con derecho a roce (2011).",Reparto,1
Erin Fogel,N/A,N/A,"Reparto, Producción, Guion",3
Monte Bezell,N/A,"su papel en Respite (2020), Person of Interest (2011) y The Blacklist (2013).","Reparto, Producción, Dirección",1
Rafael Sardina,N/A,"su papel en La guerra de los mundos (2005), La extraña que hay en ti (2007) y Bought & Sold (2003).",Reparto,1
Jonathan Rhys Meyers,1977,"El duodécimo hombre (2017), Vikingos (2013) y Los Tudor (2007).","Reparto, Producción, Banda sonora",7
Natalia Vodianova,1982,N/A,"Reparto, Guion",0
Ed Stoppard,1974,"El pianista (2002), Assassin's Creed IV: Black Flag (2013) y La juventud (2015).","Reparto, Dirección, Guion",1
Marianne Faithfull,1946,N/A,"Reparto, Música, Composición",0
Maria Bonnevie,1973,N/A,Reparto,8
Janine Horsburgh,N/A,N/A,Reparto,0
Leslie Woodhall,N/A,N/A,Reparto,0
Jimmy de Brabant,N/A,N/A,"Producción, Reparto, Dirección de producción",0
Stefan Weinert,1964,"El fotógrafo de Mauthausen (2018), Jaguar (2021) y Pasaporte a la Libertad (2021).","Reparto, Dirección, Guion",0
Gilbert Johnston,N/A,"su papel en Wolfwalkers (2020), Lost in the Moment (2020) y Hannah Arendt (2012).",Reparto,1
Jake Torem,N/A,"su papel en Looking Through Lillian (2001), Letting Go (2012) y SP.","Reparto, Producción, Dirección",2
Shirly Brener,1974,N/A,"Reparto, Producción, Equipos adicionales",2
Luca Bercovici,N/A,"12 monos (2015), Fallen (2016) y Alcohol y coca (1988).","Producción, Reparto, Dirección",2
Greg Baker,1968,"Esta es mi banda (2009), Sports Night (1998) y Parecía un hombre tranquilo (2007).","Reparto, Edición",2
Christopher Knight,1957,"La tribu de los Brady (1969), The Brady Bunch Variety Hour (1976) y La tribu de los Brady (1995).","Reparto, Producción, Equipo ejecutivo",1
David Foster,1949,St.,"Música, Composición, Producción",26
Sam Golzari,1979,"21: Black Jack (2008), American Dreamz - Salto a la fama (2006) y Salchichas (2017).","Reparto, Dirección, Producción",26
Jade Henham,N/A,N/A,"Reparto, Producción, Guion",0
Lincoln Hoppe,1971,"Stargate Origins (2018), Witnesses (2021) y Scorpion (2014).","Reparto, Guion, Producción",6
Natalie Raitano,1966,N/A,"Reparto, Producción",6
Austin Abrams,1996,"Ciudades de papel (2015), Historias de miedo para contar en la oscuridad (2019) y Revancha ya (2022).","Reparto, Producción, Banda sonora",1
Tom Arnold,1959,"Mentiras arriesgadas (1994), La familia stupid (1996) y Herida abierta (2001).","Reparto, Producción, Guion",5
Brennan Bailey,1997,"La decisión de Anne (2009), El mentalista (2008) y Cougar Town (2009).","Reparto, Cámara y electricidad",1
Wilmer Calderon,1975,"Fast & Furious: Aún más rápido (2009), Mentes en blanco (2006) y Agentes de S.",Reparto,0
Joe Childs,N/A,"su papel en Superpoli en Las Vegas (2015), Doce en casa (2003) y Proyecto: Demonio Azul (2004).","Reparto, Especialistas, Equipos adicionales",0
Cheryl Daro,N/A,N/A,"Reparto, Dirección, Guion",0
Cheryl David,N/A,N/A,Reparto,0
Neil Dickson,N/A,"su papel en X-Men: Días del futuro pasado (2014), Inland Empire (2006) y El amanecer del planeta de los simios (2014).","Reparto, Equipos adicionales, Especialistas",1
Conor Dubin,1976,"Wannabes (2000), Fiscal Chase (2005) y A Tale of Two Pizzas (2003).",Reparto,1
Tom Fitzpatrick,1941,"Insidious (capítulo 3) (2015), Date Movie (2006) y Insidious (capítulo 2) (2013).","Reparto, Producción",1
Claudia Black,1972,N/A,"Reparto, Equipos adicionales, Producción",6
Tara Strong,1973,N/A,"Reparto, Música, Producción",24
Ron Glass,1945,"Serenity (2005), Vida y milagros del Capitán Miller (1975) y Firefly (2002).","Reparto, Dirección, Banda sonora",0
Cree Summer,1969,N/A,"Reparto, Música, Guion",6
Tim Curry,1946,"Congo (1995), Los Teleñecos en La isla del tesoro (1996) y El juego de la sospecha (Cluedo) (1985).","Reparto, Producción, Banda sonora",4
Juliet Landau,1965,N/A,"Reparto, Producción, Dirección",12
Michael Dorn,1952,"Star Trek: Primer contacto (1996), Star Trek: La nueva generación (1987) y Star Trek: Insurrección (1998).","Reparto, Dirección, Guion",2
Alan Tudyk,1971,"Rogue One: Una historia de Star Wars (2016), Firefly (2002) y Yo, robot (2004).","Reparto, Producción, Guion",11
Khary Payton,1972,"The Walking Dead (2010), Teen Titans Go! (2013) y The Last Push (2012).","Reparto, Guion, Producción",7
Claudia Christian,N/A,N/A,"Reparto, Dirección, Producción",0
River Phoenix,1970,"Mi Idaho privado (1991), Cuenta conmigo (1986) y La costa de los mosquitos (1986).","Reparto, Banda sonora",9
Judy Davis,1955,N/A,"Reparto, Producción, Banda sonora",51
Jonathan Pryce,1947,"Los dos Papas (2019), Brazil (1985) y La buena esposa (2017).","Reparto, Producción, Banda sonora",10
Karen Black,1939,N/A,"Reparto, Guion, Composición",13
T. Dan Hopkins,N/A,"su papel en Dark Blood (2012), Sendero de lágrimas (1995) y Revenge of Bigfoot (1979).",Reparto,13
Lorne Miller,N/A,N/A,"Cámara y electricidad, Dirección, Dirección de fotografía y cámara",13
Julius Drum,N/A,N/A,Reparto,0
