actor,anio_nacimiento,conocido_por,que_hace,premios
Jackson Hurst,N/A,"La niebla de Stephen King (2007), Cleaner (2007) y A Bird of the Air (2011).","Reparto, Producción",0
Anjanette Comer,1939,N/A,"Reparto, Banda sonora",1
Linda Emond,1959,N/A,Reparto,0
Buck Henry,1930,"El graduado (1967), Superagente 86 (1965) y ¿Qué me pasa, doctor? (1972).","Guion, Reparto, Producción",6
Judith Ivey,1951,N/A,Reparto,6
Erik Jensen,1970,"For Life: Cadena perpetua (2020), Mr.","Reparto, Dirección, Guion",6
Kaiulani Lee,1950,N/A,"Reparto, Guion, Producción",0
Matte Osian,N/A,"su papel en Encantada: La historia de Giselle (2007), Conspiración (1997) y El lobo de Wall Street (2013).",Reparto,0
Rocco Sisto,1953,"Donnie Brasco (1997), Jo, ¡qué noche! (1985) y Un horizonte muy lejano (1992).","Reparto, Banda sonora",0
Owen Wilson,1968,Los Tenenbaums.,"Reparto, Producción, Guion",17
Jason Sudeikis,1975,"Ted Lasso (2020), Colossal (2016) y Somos los Miller (2013).","Reparto, Guion, Producción",27
Christina Applegate,1971,N/A,"Reparto, Producción, Banda sonora",17
Jenna Fischer,1974,N/A,"Reparto, Producción, Guion",8
Nicky Whelan,1981,N/A,"Reparto, Producción",8
Richard Jenkins,1947,"La forma del agua (2017), The visitor (2007) y Hermanos por pelotas (2008).","Reparto, Producción, Banda sonora",16
Stephen Merchant,1974,"Extras (2005), Peleando en familia (2019) y Logan (2017).","Guion, Producción, Reparto",17
Larry Joe Campbell,1970,"Carta blanca (2011), The Orville (2017) y El mundo según Jim (2001).","Reparto, Producción, Dirección",17
Bruce Thomas,1961,"Una rubia muy legal (2001), El hijo de Batman (2014) y Carta blanca (2011).","Reparto, Equipos adicionales, Guion",0
Tyler Hoechlin,1987,"Camino a la perdición (2002), Todos queremos algo (2016) y Supergirl (2015).","Reparto, Producción, Banda sonora",4
Ginnifer Goodwin,1978,N/A,"Reparto, Producción, Banda sonora",3
Kate Hudson,1979,N/A,"Reparto, Producción, Dirección",18
Colin Egglesfield,1973,"Algo prestado (2011), Rizzoli & Isles (2010) y The Client List (2011).","Reparto, Producción",18
John Krasinski,1979,"Jack Ryan (2018), Un lugar tranquilo (2018) y The Office (2005).","Reparto, Producción, Dirección",21
Steve Howey,1977,"Guerra de novias (2009), Algo prestado (2011) y Turno de día (2022).","Reparto, Producción, Banda sonora",21
Ashley Williams,N/A,N/A,"Reparto, Dirección, Guion",3
Geoff Pierson,1949,"Dexter (2006), El intercambio (2008) y The Brink (2015).","Reparto, Dirección, Banda sonora",0
Jill Eikenberry,1947,N/A,"Reparto, Producción, Banda sonora",1
Jonathan Epstein,N/A,N/A,Reparto,1
Leia Thompson,N/A,N/A,"Reparto, Producción, Arte",1
Anna Faris,1976,N/A,"Reparto, Producción, Guion",1
Chris Evans,1981,"Los Vengadores (2012), Capitán América: El primer vengador (2011) y Capitán América: Civil War (2016).","Reparto, Producción, Dirección",8
Ari Graynor,1983,N/A,"Reparto, Producción, Banda sonora",2
Blythe Danner,1943,N/A,"Reparto, Banda sonora",8
Ed Begley Jr.,1949,"Un poderoso viento (2003), Superfumados (2008) y Si la cosa funciona (2009).","Reparto, Producción, Dirección",2
Oliver Jackson-Cohen,1986,"El hombre invisible (2020), Sed de venganza (2010) y Salvando las distancias (2010).",Reparto,1
Heather Burns,1975,N/A,"Reparto, Guion, Banda sonora",1
Eliza Coupe,1981,N/A,"Reparto, Guion, Producción",0
Kate Simses,1979,N/A,"Reparto, Producción, Equipos adicionales",0
Tika Sumpter,1980,N/A,"Reparto, Producción, Guion",1
Bill Mendieta,N/A,"su papel en Soldado de Dios (2005), Dead Border (2013) y The Nevermore Chronicles (2014).","Reparto, Producción, Dirección de producción",1
Tom Schanley,1961,"Vacaciones en el infierno (2012), Hawai 5.","Reparto, Guion, Dirección de la segunda unidad o asistencia a dirección",1
Jennifer Siebel Newsom,1974,N/A,"Reparto, Producción, Dirección",4
Genevieve Zweig,N/A,N/A,Reparto,1
Amanda Noret,N/A,N/A,"Reparto, Arte, Producción",0
Kate Orsini,N/A,N/A,"Reparto, Guion",10
Raegan Payne,N/A,N/A,"Reparto, Guion",0
Jill Nicole Kuirsky,N/A,N/A,"Reparto, Dirección",0
