actor,anio_nacimiento,conocido_por,que_hace,premios
Bizarre,N/A,N/A,"2015, Unrated, 1h 38min",0
Miro U. Boyoert,N/A,N/A,Reparto,0
Lauren Briant,N/A,N/A,N/A,0
Tom Claus,N/A,N/A,Reparto,0
Henry Cavill,1983,"El hombre de acero (2013), Batman v Superman: El amanecer de la justicia (2016) y Liga de la Justicia (2017).","Reparto, Equipos adicionales, Producción",4
Dominic Purcell,1970,"Blade: Trinity (2004), Asesinos de élite (2011) y Equilibrium (2002).","Reparto, Producción, Banda sonora",1
Emma Booth,1982,N/A,"Reparto, Producción",9
Michael Fassbender,1977,"Shame (2011), Prometheus (2012) y X-Men: Primera generación (2011).","Reparto, Producción, Equipo ejecutivo",79
Rainer Winkelvoss,1959,"La masacre de Town Creek (2009), Rückenwind (2009) y Nichts als die Wahrheit (1999).",Reparto,79
László Mátray,1976,"One and a Half Prince (2018), Hab (2020) y 1242: Gateway to the West.","Reparto, Banda sonora",0
Joy McBrinn,N/A,N/A,Reparto,0
Shea Whigham,1969,"Take Shelter (2011), Non-Stop (Sin escalas) (2014) y Wristcutters: A Love Story (2006).","Reparto, Producción",7
Tony Barger,N/A,N/A,"Efectos visuales, Equipos adicionales, Reparto",0
Douglas Roger,N/A,N/A,"Arte, Diseño de producción, Dirección de arte",0
Tony Devon,1951,"Pizza with Bullets (2010), Impacto (1981) y El rey de la comedia (1982).","Reparto, Producción, Guion",1
Lori Singleton,N/A,N/A,Reparto,1
Mark Dermott,N/A,N/A,Reparto,1
Thomas Finn,N/A,"su papel en Line of Duty (2012), Juego de tronos (2011) y Los niños de Windermere (2020).",Reparto,0
Lung Ti,1946,"Un mañana mejor (1986), La leyenda del luchador borracho (1994) y El camino del guerrero (2010).","Reparto, Dirección, Guion",7
Billy Penn,N/A,N/A,Reparto,7
Axel Jasper,N/A,N/A,Reparto,7
Frank Telson,N/A,N/A,Reparto,7
Lizabeth Asher,N/A,N/A,Reparto,7
Sam O'Hara,N/A,N/A,"Reparto, Dirección, Guion",0
Anna Katharina Schwabroh,1979,N/A,Reparto,0
Martin Rapold,1973,"Cargo (2009), Mit Herz und Handschellen (2002) y Angie (2006).","Reparto, Guion",1
Regula Grauwiller,1970,N/A,Reparto,1
Yangzom Brauen,1981,N/A,"Dirección, Reparto, Producción",8
Pierre Semmler,N/A,N/A,Reparto,0
Claude-Oliver Rudolph,1956,"El submarino (Das Boot) (1981), El mundo nunca es suficiente (1999) y Rote Erde (1983).","Reparto, Guion, Producción",3
Michael Finger,1975,"Bersten (2007), Utopia Blues (2001) y Cargo (2009).","Reparto, Dirección, Guion",3
Gilles Tschudi,1957,"Viaje a Sils Maria (2014), Mi nombre es Bach (2003) y Romeos (2011).","Reparto, Guion, Equipo ejecutivo",1
Maria Boettner,N/A,N/A,Reparto,0
Noa Strupler,N/A,N/A,Reparto,0
Loïc Peckels,N/A,su papel en House of Boys (2009) y Perl oder Pica (2006).,Reparto,0
Layke Anderson,1983,"Dylan's Room (2012), Happy Thoughts (2014) y Mankind (2019).","Reparto, Dirección, Producción",13
Harry Ferrier,N/A,"su papel en House of Boys (2009), La ronda de noche (2007) y The Silence (2010).",Reparto,13
Michael N. Kuehl,1987,"Alles was zählt (2006), No hablo espanol (2020) y Romeos (2011).","Reparto, Dirección, Dirección de producción",0
Gintare Parulyte,N/A,N/A,"Reparto, Dirección, Guion",1
Sascha Ley,1967,N/A,"Reparto, Música",1
Chris McHallem,1960,"La joven de la perla (2003), La joven Jane Austen (2007) y El Caballero Verde (2021).","Reparto, Guion, Dirección",0
Natalie Slevin,N/A,N/A,Reparto,0
Kelly Jake,N/A,"su papel en The Flash: Requiem, Vengeance (2019) y Branded Tigers (2023).",Reparto,0
Benn Northover,1978,"Harry Potter y las Reliquias de la Muerte: Parte 2 (2011), El guardián invisible (2017) y How to Draw a Mountain (2024).","Reparto, Dirección, Edición",0
Michael Cera,1988,"Scott Pilgrim contra el mundo (2010), Supersalidos (2007) y Juno (2007).","Reparto, Producción, Dirección",9
Portia Doubleday,1988,N/A,"Reparto, Producción, Banda sonora",0
Jean Smart,1951,N/A,"Reparto, Producción, Banda sonora",44
Zach Galifianakis,1969,"Resacón en Las Vegas (2009), Birdman o (La inesperada virtud de la ignorancia) (2014) y Salidos de cuentas (2010).","Reparto, Producción, Guion",22
Erik Knudsen,1988,"Scott Pilgrim contra el mundo (2010), Scream 4 (2011) y Saw II (2005).","Reparto, Banda sonora",0
Adhir Kalyan,1983,"Reglas de compromiso (2007), Superpoli de centro comercial (2009) y Rebelión adolescente (2009).",Reparto,0
Steve Buscemi,1957,"Fargo (1996), Ghost World (2001) y Reservoir Dogs (1992).","Reparto, Producción, Dirección",31
Fred Willard,1933,"Very Important Perros (2000), Un poderoso viento (2003) y El reportero: La leyenda de Ron Burgundy (2004).","Reparto, Guion, Banda sonora",4
Ari Graynor,1983,N/A,"Reparto, Producción, Banda sonora",2
Ray Liotta,1954,"Narc (2002), Uno de los nuestros (1990) y Algo salvaje (1986).","Reparto, Producción, Banda sonora",10
Enikõ Eszenyi,1961,N/A,"Reparto, Dirección, Equipos adicionales",1
Ernõ Fekete,1972,"El hijo de Saúl (2015), Bet on Revenge (2017) y Foglyok (2019).",Reparto,1
Zsuzsa Czinkóczi,1967,N/A,Reparto,1
Beata Fudalej,1966,N/A,Reparto,0
György Cserhalmi,1948,"Kontroll (2003), Zelary (2003) y Hajnali háztetök (1986).",Reparto,8
Gabriella Hámori,1978,N/A,Reparto,6
Adél Kováts,1962,N/A,Reparto,0
Tibor Gáspár,1957,"Másnap (2004), Una vida regalada (Aranyelet) (2015) y Illúziók (2009).",Reparto,2
Zoltán Seress,N/A,N/A,"Reparto, Banda sonora",0
Juli Básti,1957,N/A,"Reparto, Banda sonora",1
Anton Pardoe,N/A,"su papel en Entre copas (2004), The Perfect Sleep (2009) y Carretera perdida (1997).","Localización, Producción, Guion",1
Anthony Dilio,N/A,"su papel en Zombieland: Mata y remata (2019), Los increíbles Powell (2010) y The Perfect Sleep (2009).",Reparto,1
David Beck,1975,"Only Fools and Horses: Beckham in Peckham (2014), Operación U.","Reparto, Producción, Equipos adicionales",4
Ken Clark,1927,"El pantano diabólico (1959), FBI chiama Istanbul (1964) y Operación Lady Chaplin (1966).",Reparto,4
Ryan Fitzgerald,N/A,"su papel en Hot Shots! (1991), De repente Susan (1996) y Camp (2003).",Reparto,0
James Hart,1947,"August Rush (El triunfo de un sueño) (2007), Los Teleñecos en La isla del tesoro (1996) y Drácula de Bram Stoker (1992).","Guion, Producción, Equipos adicionales",2
Roselyn Sanchez,1973,N/A,"Reparto, Producción, Guion",1
Denyse Tontz,1994,N/A,Reparto,1
Scout Alter,N/A,N/A,"Equipos adicionales, Reparto",1
Frank Bruynbroek,1957,"Killers (2010), Robin Hood (2010) y Godzilla (1998).","Reparto, Equipos adicionales",1
Roger Lim,1968,"AmerAsian (2009), Young American Dream (2013) y Young Again (2025).","Reparto, Producción, Dirección",1
Evlin Lake,N/A,N/A,"Especialistas, Reparto, Producción",1
Bobby Dodge,1966,"El Triángulo de las Bermudas (2005), Último aviso (2007) y X's & O's (2007).","Reparto, Especialistas, Equipos adicionales",0
Shannon Gayle Hurd,1982,N/A,Reparto,0
Drew Plummer,1978,"AmerAsian (2009), Not So Young (2013) y Only Sighing (2011).",Reparto,0
Jason Lombard,N/A,"su papel en Monstruoso (2008), Un abuelo para Navidad (2007) y AmerAsian (2009).",Reparto,0
Akiko Shima,N/A,N/A,"Reparto, Equipos adicionales, Producción",4
Melinda Lee,N/A,N/A,Reparto,4
Kristin Pesceone,N/A,N/A,Reparto,4
Tracy Miller,N/A,N/A,"Reparto, Banda sonora",0
Matthew Del Negro,1972,"City on a Hill (2019), Scandal (2012) y Los Soprano (1999).","Reparto, Producción, Dirección",0
Yan England,N/A,"su papel en Rematch, The Oscars (2013) y Sam (2021).","Reparto, Dirección, Guion",12
Tim Kubart,1984,"Bully (2006), Ley y orden: Unidad de Víctimas Especiales (1999) y Haute & Bothered (2009).","Reparto, Guion, Equipos adicionales",1
Sabin Lomac,N/A,"su papel en Side Order of Life (2007), The Conquest of America (2005) y Shooting Chris (2013).","Reparto, Producción",1
Justin Okin,N/A,"su papel en Loaf of Bread (2009), Why George? (2009) y Hughes the Force (2011).","Reparto, Producción, Equipos adicionales",1
Laurie Okin,1971,N/A,"Reparto, Producción",1
Joel Rooks,N/A,N/A,"Reparto, Equipos adicionales",1
Louise Scotti,1972,N/A,Reparto,0
Leia Thompson,N/A,N/A,"Reparto, Producción, Arte",0
Shari Umansky,N/A,N/A,"Guion, Reparto, Producción",0
Arshad Warsi,1968,Munna Bhai M.,"Reparto, Guion, Dirección de la segunda unidad o asistencia a dirección",20
Aashish Chaudhary,1978,"Qayamat: City Under Threat (2003), Kabhi Bhi Kahin Bhi y Kisse Pyaar Karoon? (2009).",Reparto,0
Yash Tonk,N/A,N/A,Reparto,0
Udita Goswami,1984,N/A,Reparto,0
Aarti Chhabria,1982,N/A,"Reparto, Dirección, Producción",0
Shweta Menon,1974,N/A,"Reparto, Música, Banda sonora",5
