actor,anio_nacimiento,conocido_por,que_hace,premios
Satish Shah,1951,"Kal Ho Naa Ho (2003), Jaane Bhi Do Yaaro (1983) y Sarabhai vs Sarabhai (2004).","Reparto, Producción",3
Tanaaz Currim Irani,1971,N/A,"Reparto, Equipos adicionales",0
Vijay Kashyap,N/A,"su papel en Gandhi (1982), Ssshhhh.","Reparto, Diseño de producción",0
Satish Kaushik,1956,"Tere Naam (2003), Kaagaz (2021) y Udta Punjab (2016).","Reparto, Dirección, Producción",7
Sarfaraz Khan,1976,"Sarfarosh (1999), Wanted (2009) y Slumdog Millionaire (2008).","Reparto, Equipos adicionales, Dirección de arte",0
Kirron Kher,1952,N/A,"Reparto, Vestuario",18
Patrick Wilson,1973,"El fantasma de la ópera de Andrew Lloyd Webber (2004), Hard Candy (2005) y Insidious (2010).","Reparto, Producción, Dirección",3
Judy Greer,1975,N/A,"Reparto, Producción, Dirección",0
Chloë Sevigny,N/A,N/A,"Reparto, Dirección, Guion",9
Jean Smart,1951,N/A,"Reparto, Producción, Banda sonora",44
Malcolm McDowell,1943,"La naranja mecánica (1971), Star Trek: La próxima generación (1994) y Los pasajeros del tiempo (1979).","Reparto, Producción, Guion",18
Billy Dee Williams,1937,"El imperio contraataca (1980), El retorno del jedi (1983) y Batman: La LEGO película (2017).","Reparto, Guion, Banda sonora",7
Cybill Shepherd,1950,N/A,"Reparto, Producción, Guion",13
Shea Whigham,1969,"Take Shelter (2011), Non-Stop (Sin escalas) (2014) y Wristcutters: A Love Story (2006).","Reparto, Producción",7
Barret Swatek,1977,N/A,Reparto,0
Missi Pyle,N/A,N/A,"Reparto, Guion, Producción",2
Jin Akanishi,1984,"La leyenda del samurái: 47 Ronin (2013), Bandeiji (2010) y Yûkan kurabu (2007).","Reparto, Música, Banda sonora",2
Kie Kitano,1991,N/A,Reparto,1
Kengo Kôra,1987,"Shin Godzilla (2016), El cuento de la princesa Kaguya (2013) y Un asunto de familia (2018).",Reparto,2
Ayumi Ito,N/A,N/A,Reparto,1
Yuki Shibamoto,N/A,N/A,Reparto,1
Nobuaki Kaneko,1981,"Alice in Borderland (2020), No More Heroes III (2021) y Bandeiji (2010).","Reparto, Composición, Banda sonora",0
Hideyuki Kasahara,1983,"Todo sobre Lily (2001), Crows II (2009) y Hana y Alice (2004).",Reparto,0
Anne Watanabe,1986,N/A,Reparto,0
Hatsunori Hasegawa,1955,"Urutoraman Eiteî (1980), Urutoraman zero the mubi: Cho kessen! Beriaru ginga teikoku (2010) y Gamera: El guardián del universo (1995).",Reparto,0
Yoshiyuki Ishizuka,N/A,N/A,Guion,0
Michael Madsen,1957,"Reservoir Dogs (1992), Kill Bill: Volumen 1 (2003) y Donnie Brasco (1997).","Reparto, Producción, Guion",20
Carolina Gómez,1975,N/A,"Reparto, Producción, Equipos adicionales",1
Selton Mello,1972,"El payaso (2011), O Filme da Minha Vida (2017) y Mi amigo hindú (2015).","Reparto, Dirección, Guion",46
Roberto Cano,1973,"La mujer del presidente (1997), La viuda de Blanco (1996) y Francisco el matemático (1999).",Reparto,0
Carlos Alberto Riccelli,1946,"Onde está a Felicidade? (2011), A Indomada (1997) y Stress, Orgasms, and Salvation (2005).","Reparto, Dirección, Producción",4
Eduardo Dussek,1958,"Sassaricando (1987), Rio Sex Comedy (2010) y Fina Estampa (2011).","Reparto, Composición, Música",0
Similião Aurélio,N/A,N/A,Reparto,0
Adriano Siri,N/A,N/A,"Vídeo, 2011, 3h 10min",0
Christovam Netto,N/A,N/A,Reparto,0
Cesario Augusto,N/A,N/A,Reparto,0
Gyula Balázsi,N/A,N/A,Reparto,0
Péter Benkö,1947,"Csínom Palkó (1973), El testamento de Aga-Kan (1967) y Fürkész történetei (1983).",Reparto,0
Ágnes Bertalan,N/A,N/A,Reparto,0
Péter Blaskó,N/A,N/A,Reparto,0
Ferenc Borbiczky,N/A,N/A,"Reparto, Equipos adicionales",0
Gyula Buss,N/A,N/A,Reparto,0
János Bácskai,N/A,N/A,Arte,0
László Csurka,N/A,N/A,Reparto,0
Gábor Csíkos,N/A,N/A,Reparto,0
Iván Dengyel,N/A,N/A,Reparto,0
Carlota Sosa,1957,N/A,Reparto,0
Daniela Bascopé,1982,N/A,"Reparto, Guion, Producción",1
Óscar Borda,N/A,"su papel en Perro come perro (2008), Perro amor (1998) y Azúcar (2016).","Reparto, Música, Banda sonora",1
Pedro Lander,1954,"Más que amor, frenesí (2001), La traidora (1991) y Punto y raya (2004).",Reparto,0
Yvonne Reyes,N/A,N/A,"Reparto, Vestuario",0
Arlette Torres,N/A,N/A,Reparto,0
Paul Sanderson,N/A,"su papel en Lives No Longer Ours (2011), American Experience (1987) y En cuerpo y alma (2011).","Reparto, Dirección de fotografía y cámara, Equipos adicionales",0
Sterling Walbrook,N/A,N/A,Reparto,0
Robert Bennett,N/A,N/A,"Especialistas, Reparto",0
Cliff Jenkins,N/A,"su papel en El asesinato de Mike (1984), Lives No Longer Ours (2011) y Magnum, P.","Reparto, Especialistas",0
Patrick Toon,N/A,N/A,Reparto,0
Anna Palermo,N/A,N/A,Reparto,0
Robert Bales,N/A,N/A,"Serie podcast, 2023",0
Cynthia Emmer,N/A,N/A,Reparto,0
Brittania Nicol,N/A,N/A,"Reparto, Banda sonora",0
Henry Garrett,N/A,N/A,Reparto,0
Graham McTavish,1961,"El hobbit: Un viaje inesperado (2012), El hobbit: La desolación de Smaug (2013) y John Rambo (2008).","Reparto, Producción, Dirección",2
Jacqueline Leonard,1967,N/A,"Reparto, Banda sonora",2
James Mapes,N/A,"su papel en ¿Quieres que te cuente un secreto? (2001), Star Trek: Primer contacto (1996) y Taxi Driver (1976).",Reparto,2
Lesley Mackie,N/A,N/A,"Reparto, Música",0
Clive Russell,1945,"Sherlock Holmes (2009), El hombre lobo (2010) y El rey Arturo (2004).","Reparto, Banda sonora",0
Bill Murdoch,1941,"Braveheart (1995), Gangs of New York (2002) y Dear Green Place (2006).",Reparto,0
Kirstin Murray,N/A,N/A,"Reparto, Producción",0
Christopher Fosh,1965,"Al filo del mañana (2014), Bonded by Blood (2010) y A Day of Violence (2010).","Reparto, Equipos adicionales, Sonido",0
Vincent Pastore,1946,"Los Soprano (1999), Revolver de Guy Ritchie (2005) y El espantatiburones (2004).","Reparto, Producción",10
Ben Curtis,1980,"Spy (2011), The Jack and Triumph Show (2015) y Echelon 8 (2009).","Reparto, Producción, Música",0
Lora Kojovic,N/A,N/A,Reparto,0
Kory Bassett,N/A,"su papel en Spy (2011), Punk'd (2003) y Ley y orden: Acción criminal (2001).",Reparto,0
Tonja Walker,1960,N/A,"Reparto, Producción, Guion",0
Vinny Vella,1947,"Casino (1995), En carne viva (2003) y Declaradme culpable (2006).","Reparto, Equipos adicionales",0
Gerald Bunsen,N/A,"su papel en Bronx SIU (2018), Gotham (2014) y Buscarse la vida en América (2010).","Reparto, Especialistas, Producción",0
